City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,El Vigia,VE,74.82,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
7,Kintampo,GH,74.28,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
8,Alta Floresta,BR,71.58,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
14,Katsuura,JP,69.8,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
15,Diamantina,BR,60.39,clear sky,-18.2494,-43.6003,POUSADA OURO DE MINAS
16,Hobart,AU,62.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
18,Rikitea,PF,72.07,light rain,-23.1203,-134.9692,People ThankYou
22,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
23,Port Lincoln,AU,68.0,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
26,Hilo,US,72.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Lima,PE,67.89,overcast clouds,-12.0432,-77.0282,Hotel Kamana
33,Hamilton,US,72.75,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
40,Kapaa,US,74.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Busselton,AU,72.57,overcast clouds,-33.65,115.3333,Observatory Guest House
45,Casino,AU,69.78,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
50,Mar Del Plata,AR,63.88,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
51,Codrington,AU,62.65,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
58,Macia,MZ,73.26,clear sky,-25.0269,33.0989,Hotel Taskin Macia
61,San Cristobal,VE,66.72,overcast clouds,7.7669,-72.225,Pirineos
63,Santiago Del Estero,AR,69.78,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
70,Tomatlan,MX,66.33,clear sky,19.9333,-105.25,El Salvial
72,Port Macquarie,AU,69.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
73,Mocuba,MZ,73.9,scattered clouds,-16.8392,36.9856,Phama Lodge
74,Jalu,LY,73.04,scattered clouds,29.0331,21.5482,صاحبة الفخامة
78,Abha,SA,68.25,scattered clouds,18.2164,42.5053,Abha Hotel
79,Chuy,UY,62.56,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
87,Richards Bay,ZA,68.09,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
89,Burnie,AU,60.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
90,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
96,La Palma,US,73.42,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
98,Arraial Do Cabo,BR,73.9,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
105,Komsomolskiy,UZ,68.72,overcast clouds,40.4272,71.7189,Ikathouse
108,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Hervey Bay,AU,73.15,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
114,Laguna,US,64.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
115,Jamestown,US,71.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
121,Gbarnga,LR,70.0,overcast clouds,6.9956,-9.4722,Passion Hotel 2
