City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,14.0,86,93,1.68,overcast clouds
1,El Vigia,VE,8.6219,-71.6506,74.82,95,100,3.24,overcast clouds
2,Avarua,CK,-21.2078,-159.775,77.05,88,98,1.14,overcast clouds
3,Ushtobe,KZ,45.2514,77.9838,58.6,53,100,23.53,moderate rain
4,Bluff,NZ,-46.6,168.3333,53.8,68,94,21.47,overcast clouds
5,Ardakan,IR,32.31,54.0175,83.35,14,68,4.25,broken clouds
6,Tautira,PF,-17.7333,-149.15,81.12,69,16,4.45,few clouds
7,Kintampo,GH,8.0563,-1.7306,74.28,76,100,3.02,overcast clouds
8,Alta Floresta,BR,-9.8756,-56.0861,71.58,96,50,3.29,scattered clouds
9,Novopavlovka,RU,51.2172,109.2091,36.32,59,100,8.59,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,58.75,68,64,3.36,broken clouds
11,Nikolskoye,RU,59.7035,30.7861,44.49,98,100,3.87,light rain
12,Saint-Philippe,RE,-21.3585,55.7679,80.22,73,66,14.16,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,59.92,76,0,5.99,clear sky
14,Katsuura,JP,35.1333,140.3,69.8,70,47,6.78,scattered clouds
15,Diamantina,BR,-18.2494,-43.6003,60.39,94,6,7.4,clear sky
16,Hobart,AU,-42.8794,147.3294,62.02,72,75,9.22,broken clouds
17,Yellowknife,CA,62.456,-114.3525,30.56,68,50,13.0,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,72.07,79,100,8.79,light rain
19,Gubkinskiy,RU,64.434,76.5026,26.13,86,100,4.36,overcast clouds
20,Isangel,VU,-19.55,169.2667,77.81,70,100,16.44,overcast clouds
21,Albany,US,42.6001,-73.9662,50.63,58,74,1.01,broken clouds
22,Faya,SA,18.3851,42.4509,69.91,35,3,7.05,clear sky
23,Port Lincoln,AU,-34.7333,135.8667,68.0,65,93,12.39,overcast clouds
24,Paamiut,GL,61.994,-49.6678,29.48,96,99,12.59,overcast clouds
25,Mahebourg,MU,-20.4081,57.7,80.26,69,40,12.66,scattered clouds
26,Hilo,US,19.7297,-155.09,72.25,97,82,1.01,broken clouds
27,Pemangkat,ID,1.1667,108.9667,83.91,76,99,6.11,overcast clouds
28,Lima,PE,-12.0432,-77.0282,67.89,77,93,7.49,overcast clouds
29,Norman Wells,CA,65.282,-126.8329,42.84,61,40,4.61,scattered clouds
30,Vaini,TO,-21.2,-175.2,76.93,78,100,14.16,light rain
31,Mountain Home,US,43.133,-115.6912,47.21,37,6,3.33,clear sky
32,Atuona,PF,-9.8,-139.0333,79.03,73,25,18.99,scattered clouds
33,Hamilton,US,39.1834,-84.5333,72.75,62,97,1.99,overcast clouds
34,Ko Samui,TH,9.5357,99.9357,85.35,69,87,5.53,overcast clouds
35,Pudozh,RU,61.8099,36.5345,38.5,82,81,8.32,broken clouds
36,Coos Bay,US,43.3665,-124.2179,54.93,96,92,4.68,overcast clouds
37,Dunmore Town,BS,25.5,-76.65,75.11,67,99,20.07,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,84.49,71,97,5.86,overcast clouds
39,Butaritari,KI,3.0707,172.7902,81.86,78,66,13.94,broken clouds
40,Kapaa,US,22.0752,-159.319,74.12,80,12,4.0,few clouds
41,San Angelo,US,31.4638,-100.437,57.54,86,100,10.36,overcast clouds
42,Busselton,AU,-33.65,115.3333,72.57,56,100,18.03,overcast clouds
