City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lufilufi,WS,2022-04-24 13:22:46,-13.8745,-171.5986,82.11,73,75,5.79
1,Kodiak,US,2022-04-24 13:22:46,57.79,-152.4072,38.71,93,100,10.36
2,Kombissiri,BF,2022-04-24 13:22:46,12.0656,-1.3375,105.78,6,99,9.69
3,Provideniya,RU,2022-04-24 13:22:47,64.3833,-173.3,23.4,83,13,4.03
4,Lavrentiya,RU,2022-04-24 13:22:47,65.5833,-171.0,13.08,92,91,5.82
5,Pitimbu,BR,2022-04-24 13:22:47,-7.4706,-34.8086,79.39,77,98,14.12
6,Busselton,AU,2022-04-24 13:22:48,-33.65,115.3333,63.5,58,100,8.81
7,Mar Del Plata,AR,2022-04-24 13:22:48,-38.0023,-57.5575,59.88,81,0,14.97
8,Dingle,PH,2022-04-24 13:22:48,10.9995,122.6711,78.08,86,88,7.96
9,Chara,RU,2022-04-24 13:22:49,56.9064,118.2631,21.07,67,83,3.58
10,Cherskiy,RU,2022-04-24 13:22:49,68.75,161.3,-2.2,100,88,5.01
11,Kapaa,US,2022-04-24 13:22:49,22.0752,-159.319,76.98,87,100,18.41
12,Ushuaia,AR,2022-04-24 13:18:31,-54.8,-68.3,37.06,81,20,0.0
13,Qaanaaq,GL,2022-04-24 13:22:50,77.484,-69.3632,2.7,72,13,9.04
14,Bredasdorp,ZA,2022-04-24 13:22:50,-34.5322,20.0403,64.9,48,88,14.56
15,Castro,BR,2022-04-24 13:22:50,-24.7911,-50.0119,66.7,81,64,4.36
16,Virginia Beach,US,2022-04-24 13:19:30,36.8529,-75.978,72.01,70,8,1.99
17,Oranjemund,NA,2022-04-24 13:22:51,-28.55,16.4333,61.72,54,0,18.07
18,Mahebourg,MU,2022-04-24 13:22:51,-20.4081,57.7,77.29,73,75,17.27
19,Saskylakh,RU,2022-04-24 13:22:51,71.9167,114.0833,-1.3,100,22,2.37
20,Karratha,AU,2022-04-24 13:22:52,-20.7377,116.8463,81.91,58,0,4.94
21,Albany,US,2022-04-24 13:22:52,42.6001,-73.9662,51.06,49,100,1.01
22,Egvekinot,RU,2022-04-24 13:22:52,66.3167,-179.1667,11.32,94,85,6.55
23,Pisco,PE,2022-04-24 13:22:53,-13.7,-76.2167,62.65,94,100,0.0
24,Ribeira Grande,PT,2022-04-24 13:22:53,38.5167,-28.7,61.2,72,40,18.41
25,Okhotsk,RU,2022-04-24 13:22:53,59.3833,143.3,23.61,95,30,2.62
26,Punta Arenas,CL,2022-04-24 13:22:54,-53.15,-70.9167,41.11,93,75,4.61
27,Kapit,MY,2022-04-24 13:22:54,2.0167,112.9333,76.01,97,100,1.48
28,Taoudenni,ML,2022-04-24 13:21:11,22.6783,-3.9836,91.92,14,0,14.83
29,Yellowknife,CA,2022-04-24 13:22:06,62.456,-114.3525,16.32,79,0,11.5
30,Sao Filipe,CV,2022-04-24 13:22:55,14.8961,-24.4956,76.53,67,4,5.97
31,Fortuna,US,2022-04-24 13:22:55,40.5982,-124.1573,48.65,94,100,0.0
32,Tessalit,ML,2022-04-24 13:22:55,20.1986,1.0114,94.84,5,0,13.04
33,Torbay,CA,2022-04-24 13:22:56,47.6666,-52.7314,36.28,96,100,21.85
34,Sovetskaya,RU,2022-04-24 13:22:56,44.7769,41.1722,73.0,47,62,6.49
35,Butaritari,KI,2022-04-24 13:22:57,3.0707,172.7902,80.67,78,100,12.46
36,Oksfjord,NO,2022-04-24 13:22:57,70.2396,22.3479,44.01,97,100,7.47
37,Peniche,PT,2022-04-24 13:20:42,39.3558,-9.3811,66.29,77,28,9.98
38,Nanortalik,GL,2022-04-24 13:22:58,60.1432,-45.2371,37.8,90,80,6.15
39,Touros,BR,2022-04-24 13:22:58,-5.1989,-35.4608,83.32,73,100,13.58
40,Bilibino,RU,2022-04-24 13:22:59,68.0546,166.4372,-2.52,100,50,5.61
41,Bridgewater,CA,2022-04-24 13:18:34,44.3835,-64.5155,44.22,53,6,17.27
42,Nishihara,JP,2022-04-24 13:22:59,26.1842,127.7558,73.45,91,0,5.75
43,Cape Town,ZA,2022-04-24 13:20:02,-33.9258,18.4232,68.11,57,40,14.97
44,Altay,CN,2022-04-24 13:23:00,47.8667,88.1167,34.66,54,87,10.94
45,Bluff,NZ,2022-04-24 13:23:01,-46.6,168.3333,52.81,85,100,21.59
46,Kruisfontein,ZA,2022-04-24 13:23:02,-34.0033,24.7314,64.89,49,1,19.93
47,Khatanga,RU,2022-04-24 13:24:02,71.9667,102.5,6.12,97,100,5.21
48,Pacific Grove,US,2022-04-24 13:24:03,36.6177,-121.9166,51.48,93,20,8.99
49,Salalah,OM,2022-04-24 13:24:03,17.0151,54.0924,85.66,60,2,10.11
50,Puerto Ayora,EC,2022-04-24 13:24:03,-0.7393,-90.3518,72.39,90,41,7.25
51,Kyra,RU,2022-04-24 13:24:04,49.5776,111.9753,37.8,26,100,3.4
52,Sur,OM,2022-04-24 13:24:04,22.5667,59.5289,89.02,49,44,6.33
53,Nemuro,JP,2022-04-24 13:24:04,43.3236,145.575,40.95,90,100,20.2
54,Portland,US,2022-04-24 13:22:22,45.5234,-122.6762,45.39,88,20,0.0
55,Lebu,CL,2022-04-24 13:24:05,-37.6167,-73.65,57.9,95,100,25.77
56,Codrington,AU,2022-04-24 13:24:05,-38.2667,141.9667,49.89,91,0,7.67
57,Saint-Philippe,RE,2022-04-24 13:24:05,-21.3585,55.7679,78.39,77,94,15.97
58,Walvis Bay,NA,2022-04-24 13:24:06,-22.9575,14.5053,68.95,52,0,12.66
59,Hobart,AU,2022-04-24 13:24:06,-42.8794,147.3294,56.26,87,20,4.61
60,Soyo,AO,2022-04-24 13:24:06,-6.1349,12.3689,83.25,74,96,9.86
61,Mount Isa,AU,2022-04-24 13:24:07,-20.7333,139.5,71.37,100,40,5.75
62,Airai,TL,2022-04-24 13:24:07,-8.9266,125.4092,59.13,80,95,2.46
63,Port Alfred,ZA,2022-04-24 13:24:07,-33.5906,26.891,65.17,76,99,7.0
64,Griffith,US,2022-04-24 13:24:08,41.5284,-87.4237,70.29,77,100,21.85
65,Hermanus,ZA,2022-04-24 13:24:08,-34.4187,19.2345,61.81,66,8,10.07
66,Luwuk,ID,2022-04-24 13:24:08,-0.9516,122.7875,79.09,88,93,1.92
67,Plymouth,US,2022-04-24 13:19:52,41.8334,-70.8328,48.22,58,100,11.5
68,Te Anau,NZ,2022-04-24 13:24:09,-45.4167,167.7167,47.93,82,79,1.57
69,Kavaratti,IN,2022-04-24 13:24:09,10.5669,72.642,85.24,70,100,7.34
70,Hilo,US,2022-04-24 13:24:09,19.7297,-155.09,74.28,96,100,5.99
71,Avarua,CK,2022-04-24 13:24:09,-21.2078,-159.775,77.05,94,100,3.44
72,Namatanai,PG,2022-04-24 13:23:12,-3.6667,152.4333,79.45,77,26,6.17
73,Los Llanos De Aridane,ES,2022-04-24 13:24:10,28.6585,-17.9182,64.15,75,75,8.05
74,Bambous Virieux,MU,2022-04-24 13:24:10,-20.3428,57.7575,77.25,73,75,17.27
75,Pokoynoye,RU,2022-04-24 13:24:11,44.8097,44.2517,72.39,34,5,13.35
76,Klaksvik,FO,2022-04-24 13:24:11,62.2266,-6.589,47.32,87,100,18.34
77,East London,ZA,2022-04-24 13:24:11,-33.0153,27.9116,67.14,82,40,17.27
78,Tiksi,RU,2022-04-24 13:24:12,71.6872,128.8694,-0.51,100,95,2.39
79,Bulgan,MN,2022-04-24 13:24:12,48.8125,103.5347,39.16,78,100,2.06
80,Tecoanapa,MX,2022-04-24 13:21:18,16.5167,-98.75,76.71,75,2,2.98
81,Vaini,TO,2022-04-24 13:24:12,-21.2,-175.2,71.76,94,75,0.0
82,Iracoubo,GF,2022-04-24 13:24:13,5.4802,-53.2011,80.53,79,80,7.25
83,Arraial Do Cabo,BR,2022-04-24 13:24:13,-22.9661,-42.0278,80.56,74,40,9.22
84,Thompson,CA,2022-04-24 13:24:13,55.7435,-97.8558,12.36,79,100,16.11
85,Maniitsoq,GL,2022-04-24 13:24:13,65.4167,-52.9,29.16,94,100,5.53
86,Rikitea,PF,2022-04-24 13:24:14,-23.1203,-134.9692,74.35,80,100,7.18
87,Tautira,PF,2022-04-24 13:24:14,-17.7333,-149.15,80.44,72,36,8.55
88,Komsomolskiy,UZ,2022-04-24 13:24:14,40.4272,71.7189,66.92,55,100,6.91
89,Kaitangata,NZ,2022-04-24 13:24:15,-46.2817,169.8464,51.42,82,100,11.9
90,Victoria,HK,2022-04-24 13:20:05,22.2855,114.1577,82.33,83,1,11.01
91,Songjianghe,CN,2022-04-24 13:25:15,42.1859,127.479,47.39,39,56,4.07
92,Meadow Lake,US,2022-04-24 13:25:16,34.8014,-106.5436,45.46,44,0,4.76
93,Winslow,US,2022-04-24 13:25:16,35.0242,-110.6974,33.98,32,0,0.0
94,Missoula,US,2022-04-24 13:25:03,47.0166,-113.8009,28.85,89,30,0.6
95,Springbok,ZA,2022-04-24 13:25:16,-29.6643,17.8865,59.04,33,0,17.58
96,Majene,ID,2022-04-24 13:25:17,-3.5403,118.9707,78.66,86,100,2.73
97,Hithadhoo,MV,2022-04-24 13:25:17,-0.6,73.0833,83.68,74,73,9.46
98,Velingrad,BG,2022-04-24 13:25:17,42.0272,23.9957,72.88,45,47,3.89
99,Tuktoyaktuk,CA,2022-04-24 13:25:18,69.4541,-133.0374,10.4,85,0,5.75
100,Lucapa,AO,2022-04-24 13:25:18,-8.4192,20.7447,80.8,59,100,3.51
